Gene_A,Gene_B,posterior_edge
Med21,Med9,0.5
Med21,Med4,0.5
Med21,Med7,0.5
Med4,Med9,0.5
Med4,Med7,0.5
Med31,Med7,0.5
Med7,Med9,0.5
Med27,Med22,0.5
Med27,Med30,0.5
Med27,Med29,0.5
Med27,Med20,0.5
Med29,Med30,0.5
Med20,Med18,0.5
Med12,Cdk8,0.5
Duox1,Duox1,0.5
Duox1,Duoxa1,0.5
Ralgps1,Ralgps1,0.5
Catsper2,Catsperd,0.5
Catsper2,Catspere,0.5
Catsper2,Catsper3,0.5
Catsperd,Catsperb,0.5
Catsperd,Catsperg2,0.5
Catsperd,Catspere,0.5
Catsperd,Catsper3,0.5
Catspere,Catsperg2,0.5
Catspere,Slco6c1,0.5
Catsper3,Efcab9,0.5
Lrp2,Lrp2,0.5
Agrn,Agrn,0.5
Ttn,Ttn,0.5
Ttn,Myh7,0.5
Ttn,Ankrd1,0.5
Myh7,Mybpc3,0.5
Myh7,Myl3,0.5
Myh7,Myl2,0.5
Rad21l1,Smc1b,0.5000000000000001
Smc1b,Stag3,0.5000000000000001
Smc1b,Rec8,0.5000000000000001
Smc1b,Smc3,0.5
Mga,Max,0.5439868731242405
Max,Myc,0.5439868731242405
Max,Mycn,0.5439868731242405
Max,Max,0.6157728772867703
Max,Mxd1,0.5439868731242405
Max,Mxi1,0.5439868731242405
Max,Mxd3,0.5439868731242405
Arid1a,Smarca4,0.5044546968822109
Smarca4,Arid1b,0.5044546968822109
Smarca4,Smarce1,0.5058276352194778
Smarca4,Smarcc1,0.5058276368506395
Smarca4,Ss18,0.5044546968822109
Smarca4,Smarcd3,0.5044546968822109
Smarca4,Smarcc2,0.5044546968822109
Smarca4,Pbrm1,0.5044546968822109
Smarca4,Smarcb1,0.5044546968822109
Smarca4,Mecp2,0.5281178836960196
Kalrn,Syngap1,0.5020904316968315
Kalrn,Shank3,0.5023068001247329
Kalrn,Dlgap1,0.5000862433117715
Syngap1,Shank1,0.5020904316968315
Syngap1,Syngap1,0.6333593301513712
Syngap1,Dpysl2,0.5000000000000004
Syngap1,Cntnap1,0.5000000000000003
Syngap1,Epb41l2,0.5000000000000003
Syngap1,Cacng2,0.5000000000000004
Syngap1,Camk2a,0.5160243294089747
Syngap1,Glul,0.5000000000000003
Syngap1,Prkce,0.6340456966262364
Syngap1,Gnao1,0.5000000000000003
Syngap1,Gria1,0.5000000000000016
Syngap1,Gria2,0.5000000000000016
Syngap1,Camk2b,0.5000000013291835
Syngap1,Grin2a,0.5051787418005632
Syngap1,Grin1,0.5136302468779494
Syngap1,Pura,0.5000000000000003
Syngap1,Rab2a,0.5000000000000003
Syngap1,Slc1a3,0.5000000000000003
Syngap1,Rab10,0.5000000000000003
Syngap1,Arf3,0.5000000000000003
Syngap1,Ywhag,0.5168040862927263
Syngap1,Ywhae,0.5000000000000316
Syngap1,Kcnab2,0.5000000000000003
Syngap1,Rab3c,0.5000000000000003
Syngap1,Rab3a,0.5000000000000003
Syngap1,Ywhaz,0.5838586746730062
Syngap1,Prkcg,0.5000000000000003
Syngap1,Ywhah,0.5000000000000004
Syngap1,Dlg3,0.5000000000000003
Syngap1,Arf5,0.5000000000000003
Syngap1,Grin2b,0.5247056449860987
Syngap1,Grin2d,0.5000000000000003
Syngap1,Agap2,0.5356045967560797
Syngap1,Plcl1,0.5000000000000003
Syngap1,Fam81a,0.5000000000000003
Syngap1,Shank3,0.647162578855726
Syngap1,Iqsec2,0.5000000000000003
Syngap1,Cnrip1,0.5000000000000003
Syngap1,Adam9,0.5000000000000003
Syngap1,Kcna4,0.5000000000000003
Syngap1,Sptbn1,0.5000000013291835
Syngap1,Begain,0.5000000000000003
Syngap1,Sptbn2,0.5000000000000003
Syngap1,Dlgap3,0.5000000013291835
Syngap1,Cyfip1,0.5135277828704122
Syngap1,Lrrc7,0.5000000000000003
Syngap1,Ubr5,0.5000000000000003
Syngap1,Ddn,0.5011880618397001
