Uniprot_A	Uniprot_B	Gene_A	Gene_B	pmid:method:quality:type	taxid	high_quality	in_pdb_source
Q8R0F8	Q8R0F8	Fahd1	Fahd1	32068790:0114:LC:binary	10090	True	True
Q8R0I0	Q8R0I0	Ace2	Ace2	35641567:0114:LC:binary|PDB_8VKL:0114:LC:binary	10090	True	True
Q8R0L9	Q9JHD2	Tada3	Kat2a	20508642:0006:LC:binary|20946988:0096:LC:binary	10090	True	False
Q8R0W1	Q8R0W1	Cipc	Cipc	28669630:0114:LC:binary	10090	True	True
Q8R183	Q8R183	Timd2	Timd2	17363299:0114:LC:binary	10090	True	True
Q8R1I1	Q9CPX8	Uqcr10	Uqcr11	34616041:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q8R1I1	Q9CQC7	Uqcr10	Ndufb4	38575788:0114:LC:binary	10090	True	True
Q8R1I1	Q9CR68	Uqcr10	Uqcrfs1	34616041:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q8R1I1	Q9CZ13	Uqcr10	Uqcrc1	34616041:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q8R1I1	Q9D0M3	Uqcr10	Cyc1	16120479:0006:LC:binary|34616041:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q8R1R4	Q8R1R4	Il34	Il34	22579672:0114:LC:binary	10090	True	True
Q8R1S4	Q8R1S4	Mtss1	Mtss1	17292833:0067:LC:binary|17292833:0114:LC:binary	10090	True	True
Q8R2K1	Q8R2K1	Fuom	Fuom	19524593:0114:LC:binary	10090	True	True
Q8R2K4	Q9JHD2	Taf6l	Kat2a	20508642:0006:LC:binary|20946988:0096:LC:binary	10090	True	False
Q8R2L5	Q8VE22	Mrps18c	Mrps23	35676484:0114:LC:binary	10090	True	True
Q8R2L5	Q924T2	Mrps18c	Mrps2	35676484:0114:LC:binary	10090	True	True
Q8R2L5	Q9CY16	Mrps18c	Mrps28	35676484:0114:LC:binary	10090	True	True
Q8R2L5	Q9DCA2	Mrps18c	Mrps11	35676484:0114:LC:binary	10090	True	True
Q8R2Q8	Q8R2Q8	Bst2	Bst2	21084286:0114:LC:binary	10090	True	True
Q8R2U6	Q8R2U6	Nudt4	Nudt4	PDB_2DUK:0114:LC:binary	10090	True	True
Q8R2X8	Q99JX3	Blzf1	Gorasp2	28049725:0114:LC:binary	10090	True	True
Q8R3R8	Q8R3R8	Gabarapl1	Gabarapl1	33436612:0114:LC:binary	10090	True	True
Q8R409	Q99J95	Hexim1	Cdk9	20593818:0096:LC:binary|23663783:0006:LC:binary	10090	True	False
Q8R464	Q8R464	Cadm4	Cadm4	30674679:0114:LC:binary	10090	True	True
Q8R464	Q99N28	Cadm4	Cadm3	30674679:0114:LC:binary	10090	True	True
Q8R4A3	Q91ZD4	Dact1	Vangl2	19701191:0007:LC:binary|19701191:0096:LC:binary|21718540:0007:LC:binary	10090	True	False
Q8R4B8	Q8R4B8	Nlrp3	Nlrp3	34861190:0114:LC:binary|35254907:0114:LC:binary	10090	True	True
Q8R4B8	Q9EPB4	Nlrp3	Pycard	17907925:0007:LC:binary|22801494:0071:LC:binary|23143333:0006:LC:binary|25605870:0006:LC:binary|27993998:0006:LC:binary|27993998:0027:LC:binary|34589402:0006:LC:binary	10090	True	False
Q8R4D5	Q8R4D5	Trpm8	Trpm8	35662242:0114:LC:binary|36227998:0114:LC:binary	10090	True	True
Q8R4I1	Q9JHD2	Atxn7	Kat2a	16494529:0006:LC:binary|20508642:0006:LC:binary	10090	True	False
Q8R4L0	Q8R4L0	Sla2	Sla2	27458164:0007:LC:binary|33617900:0114:LC:binary	10090	True	True
Q8R4R6	Q8R4R6	Nup35	Nup35	16962612:0114:LC:binary	10090	True	True
Q8R502	Q8R502	Lrrc8c	Lrrc8c	36522427:0114:LC:binary	10090	True	True
Q8R550	Q8R550	Sh3kbp1	Sh3kbp1	29589748:0114:LC:binary	10090	True	True
Q8R5A3	Q8R5A3	Apbb1ip	Apbb1ip	23045549:0114:LC:binary|24287201:0114:LC:binary	10090	True	True
Q8VBX4	Q8VBX4	Cd207	Cd207	27903635:0114:LC:binary	10090	True	True
Q8VC57	Q8VC57	Kctd5	Kctd5	37450587:0114:LC:binary	10090	True	True
Q8VCD5	Q920D3	Med17	Med28	31402173:0114:LC:binary	10090	True	True
Q8VCD5	Q921D4	Med17	Med6	31402173:0114:LC:binary	10090	True	True
Q8VCD5	Q924H2	Med17	Med15	31402173:0114:LC:binary	10090	True	True
Q8VCD5	Q9CQ39	Med17	Med21	31402173:0114:LC:binary	10090	True	True
Q8VCD5	Q9CQA5	Med17	Med4	31402173:0114:LC:binary	10090	True	True
Q8VCD5	Q9CQI9	Med17	Med30	31402173:0114:LC:binary	10090	True	True
Q8VCD5	Q9CZ82	Med17	Med18	31402173:0114:LC:binary	10090	True	True
Q8VCD5	Q9CZB6	Med17	Med7	31402173:0114:LC:binary	10090	True	True
Q8VCD5	Q9D7W5	Med17	Med8	31402173:0114:LC:binary	10090	True	True
Q8VCD5	Q9D8C6	Med17	Med11	31402173:0114:LC:binary	10090	True	True
Q8VCD5	Q9DB40	Med17	Med27	31402173:0114:LC:binary	10090	True	True
Q8VCD5	Q9R0X0	Med17	Med20	31402173:0114:LC:binary	10090	True	True
Q8VCS6	Q9CQ39	Med9	Med21	31402173:0114:LC:binary	10090	True	True
Q8VCS6	Q9CQA5	Med9	Med4	31402173:0114:LC:binary	10090	True	True
Q8VCS6	Q9CZB6	Med9	Med7	31402173:0114:LC:binary	10090	True	True
Q8VCW4	Q99MB1	Unc93b1	Tlr3	17452530:0007:LC:binary|19451267:0007:LC:binary|33432245:0114:LC:binary	10090	True	True
Q8VCW4	Q9EQU3	Unc93b1	Tlr9	17452530:0007:LC:binary|19451267:0007:LC:binary	10090	True	False
Q8VD72	Q9CWF6	Ttc8	Bbs2	22072986:0071:LC:binary|22139371:0029:LC:binary|22500027:0006:LC:binary	10090	True	False
Q8VDC1	Q9CQV6	Fyco1	Map1lc3b	28291748:0114:LC:binary	10090	True	True
Q8VDD5	Q923J1	Myh9	Trpm7	16407977:0007:LC:binary|16407977:0424:LC:binary|24855944:0007:LC:binary	10090	True	False
Q8VDF2	Q8VDF2	Uhrf1	Uhrf1	14993289:0415:LC:binary|18772891:0114:LC:binary|19077538:0114:LC:binary|30392929:0415:LC:binary|33359809:0114:LC:binary	10090	True	True
Q8VDF3	Q8VDF3	Dapk2	Dapk2	21497605:0114:LC:binary	10090	True	True
Q8VDG3	Q8VDG3	Parn	Parn	19217398:0114:LC:binary	10090	True	True
Q8VDP3	Q8VDP3	Mical1	Mical1	16275925:0114:LC:binary|16275926:0114:LC:binary|21730291:0007:LC:binary	10090	True	True
Q8VDS3	Q8VDS3	Cbx7	Cbx7	25660273:0114:LC:binary	10090	True	True
Q8VDS3	Q9CQJ4	Cbx7	Rnf2	17296600:0096:LC:binary|22325148:0006:LC:binary|22325148:0007:LC:binary|22325148:0071:LC:binary	10090	True	False
Q8VDU0	Q8VDU0	Gpsm2	Gpsm2	23665171:0114:LC:binary	10090	True	True
Q8VE22	Q924T2	Mrps23	Mrps2	35676484:0114:LC:binary	10090	True	True
Q8VE22	Q99N87	Mrps23	Mrps5	35676484:0114:LC:binary	10090	True	True
Q8VE22	Q9CQA6	Mrps23	Chchd1	35676484:0114:LC:binary	10090	True	True
Q8VE22	Q9CY16	Mrps23	Mrps28	35676484:0114:LC:binary	10090	True	True
Q8VEA4	Q9Z0X1	Chchd4	Aifm1	PDB_8QNS:0114:LC:binary	10090	True	True
Q8VEB2	Q8VEB2	Sav1	Sav1	17239860:0114:LC:binary	10090	True	True
Q8VEF1	Q8VEF1	Gramd1a	Gramd1a	30220461:0114:LC:binary	10090	True	True
Q8VEL9	Q8VEL9	Rem2	Rem2	21903096:0114:LC:binary	10090	True	True
Q8VH51	Q8VH51	Rbm39	Rbm39	27050129:0114:LC:binary|PDB_3S6E:0114:LC:binary|PDB_4J5O:0114:LC:binary|PDB_4RU2:0114:LC:binary	10090	True	True
Q8VHJ7	Q9WTN3	Ppargc1b	Srebf1	15680331:0019:LC:binary|20211142:0018:HT:binary	10090	True	False
Q8VHN8	Q8VHN8	Nudt16l1	Nudt16l1	26100207:0114:LC:binary|29844495:0114:LC:binary	10090	True	True
Q8VI24	Q9R190	Satb2	Mta2	22334647:0006:LC:binary|30726206:0006:LC:binary	10090	True	False
Q8VI33	Q9JHD2	Taf9	Kat2a	20508642:0006:LC:binary|20946988:0096:LC:binary	10090	True	False
Q8VI36	Q8VI36	Pxn	Pxn	28860193:0114:LC:binary	10090	True	True
