Running on gpu-n37.crc.pitt.edu
workdir /ix/djishnu/Aaron_F/PGM_project/Bionic
Using CUDA
Preprocessing input networks...
Preprocessing finished: 3561 total nodes.
Epoch: 121 | Loss Total: 0.002800 | Loss 1: 0.001709 | Loss 2: 0.001091 | Time (s): 0.0991
Epoch: 122 | Loss Total: 0.002738 | Loss 1: 0.001656 | Loss 2: 0.001082 | Time (s): 0.0991
Epoch: 123 | Loss Total: 0.002731 | Loss 1: 0.001696 | Loss 2: 0.001034 | Time (s): 0.0988
Epoch: 124 | Loss Total: 0.002704 | Loss 1: 0.001661 | Loss 2: 0.001043 | Time (s): 0.0989
Epoch: 125 | Loss Total: 0.002719 | Loss 1: 0.001646 | Loss 2: 0.001073 | Time (s): 0.0995
Epoch: 126 | Loss Total: 0.002705 | Loss 1: 0.001645 | Loss 2: 0.001060 | Time (s): 0.0989
Epoch: 127 | Loss Total: 0.002675 | Loss 1: 0.001701 | Loss 2: 0.000974 | Time (s): 0.0994
Epoch: 128 | Loss Total: 0.002711 | Loss 1: 0.001655 | Loss 2: 0.001056 | Time (s): 0.0990
Epoch: 129 | Loss Total: 0.002736 | Loss 1: 0.001723 | Loss 2: 0.001014 | Time (s): 0.0990
Epoch: 130 | Loss Total: 0.002717 | Loss 1: 0.001634 | Loss 2: 0.001084 | Time (s): 0.0989
Epoch: 131 | Loss Total: 0.002727 | Loss 1: 0.001701 | Loss 2: 0.001026 | Time (s): 0.0998
Epoch: 132 | Loss Total: 0.002663 | Loss 1: 0.001635 | Loss 2: 0.001028 | Time (s): 0.1002
Epoch: 133 | Loss Total: 0.002710 | Loss 1: 0.001671 | Loss 2: 0.001039 | Time (s): 0.0989
Epoch: 134 | Loss Total: 0.002594 | Loss 1: 0.001671 | Loss 2: 0.000924 | Time (s): 0.0990
Epoch: 135 | Loss Total: 0.002596 | Loss 1: 0.001651 | Loss 2: 0.000945 | Time (s): 0.0989
Epoch: 136 | Loss Total: 0.002615 | Loss 1: 0.001659 | Loss 2: 0.000956 | Time (s): 0.0989
Epoch: 137 | Loss Total: 0.002684 | Loss 1: 0.001711 | Loss 2: 0.000973 | Time (s): 0.0990
Epoch: 138 | Loss Total: 0.002631 | Loss 1: 0.001637 | Loss 2: 0.000995 | Time (s): 0.0986
Epoch: 139 | Loss Total: 0.002621 | Loss 1: 0.001688 | Loss 2: 0.000933 | Time (s): 0.0989
Epoch: 140 | Loss Total: 0.002569 | Loss 1: 0.001672 | Loss 2: 0.000896 | Time (s): 0.0995
Epoch: 141 | Loss Total: 0.002613 | Loss 1: 0.001682 | Loss 2: 0.000931 | Time (s): 0.0994
Epoch: 142 | Loss Total: 0.002554 | Loss 1: 0.001675 | Loss 2: 0.000879 | Time (s): 0.0995
Epoch: 143 | Loss Total: 0.002550 | Loss 1: 0.001663 | Loss 2: 0.000887 | Time (s): 0.0992
Epoch: 144 | Loss Total: 0.002633 | Loss 1: 0.001648 | Loss 2: 0.000986 | Time (s): 0.0989
Epoch: 145 | Loss Total: 0.002572 | Loss 1: 0.001678 | Loss 2: 0.000895 | Time (s): 0.0997
Epoch: 146 | Loss Total: 0.002532 | Loss 1: 0.001643 | Loss 2: 0.000889 | Time (s): 0.0985
Epoch: 147 | Loss Total: 0.002581 | Loss 1: 0.001691 | Loss 2: 0.000890 | Time (s): 0.0991
Epoch: 148 | Loss Total: 0.002528 | Loss 1: 0.001682 | Loss 2: 0.000846 | Time (s): 0.0991
Epoch: 149 | Loss Total: 0.002552 | Loss 1: 0.001651 | Loss 2: 0.000901 | Time (s): 0.0988
Epoch: 150 | Loss Total: 0.002597 | Loss 1: 0.001664 | Loss 2: 0.000933 | Time (s): 0.0989
Epoch: 151 | Loss Total: 0.002600 | Loss 1: 0.001661 | Loss 2: 0.000939 | Time (s): 0.0987
Epoch: 152 | Loss Total: 0.002563 | Loss 1: 0.001687 | Loss 2: 0.000877 | Time (s): 0.0990
Epoch: 153 | Loss Total: 0.002534 | Loss 1: 0.001634 | Loss 2: 0.000901 | Time (s): 0.0991
